node1,node2,jaccard_coef,adar_index,shortest_path,follows_back,page_rank_n1,page_rank_n2,katz_n1,katz_n2,hubs_n1,hubs_n2,authorities_n1,authorities_n2,num_followers_node1,num_followers_node2,num_followees_node1,num_followees_node2,inter_followers,inter_followees,cos_sim,link
306,308,0.0625,1.5221526679301567,2,0,0.0009161227359751001,0.0009210405186858186,0.03197568117450798,0.03329557088209417,0.0017832430929331726,0.0016641535301416958,0.0011937868598686963,0.0019333370472751684,12,17,20,11,1,2,0.228,0.0
917,918,0.4074074074074074,7.874653109098094,2,0,0.000715665240786575,0.0006896538258080393,0.030158504507248392,0.030311203204567393,0.0007148217029829589,0.0006436463861196517,0.0004183414517976468,0.00042504770993182135,6,10,15,7,1,4,0.851,0.0
49,989,0.0,0.0,4,0,0.000984912208281084,0.0017890583595205867,0.02956519537161265,0.0283933030412154,0.00033907321880395923,1.925661391612577e-06,0.00023792774376200096,9.051302099566651e-05,7,2,7,0,0,0,0.281,0.0
222,256,0.0410958904109589,1.5694996141631323,2,0,0.0016789899353330806,0.003134642815568095,0.03670779572020304,0.04539568346368709,0.0018180428381440168,0.002897866214546821,0.002731071784567846,0.0055373667047679195,33,63,27,27,9,1,0.314,0.0
270,384,0.0,0.0,3,0,0.0005329731331416936,0.00062097656077204,0.029947369280992564,0.03051322954537526,0.000578675455563714,0.0,0.0007295930070899479,0.0005429065377394169,6,11,6,0,0,0,0.307,0.0
397,397,1.0,16.986514263686768,0,0,0.0013133054107957644,0.0013133054107957644,0.032447943303612566,0.032447943303612566,0.0006729427915185132,0.0006729427915185132,0.000781498524339251,0.000781498524339251,17,17,19,19,17,19,1.0,0.0
899,185,0.0,0.0,-1,0,0.0010214504596527114,0.0005264795458494567,0.03168687221694042,0.029007786830150074,0.0,0.00045726069091406,0.0,0.0001326915225723466,0,5,0,8,0,0,-1.0,0.0
954,327,0.0,0.0,3,0,0.00038107319658474984,0.0010910409328122668,0.02909163989698668,0.032619548888419066,0.00023420536227754208,0.001330707757675509,0.0004869004381061601,0.001644253249671433,4,15,2,9,0,0,0.321,0.0
217,162,0.17073170731707318,6.095173882490562,2,0,0.0006090208595377844,0.0014195795176444308,0.029647236602719958,0.03487122311306139,0.0007839315538999774,0.0013970882332092838,0.000454861034204961,0.0020908078647882754,7,26,13,22,2,3,0.687,0.0
63,132,0.2692307692307692,16.178521020076857,2,1,0.002733212230900583,0.0015297179829654492,0.04247348687654204,0.03643566998517845,0.005224216789017069,0.003047671282112745,0.004239382387112858,0.002918088566780576,51,35,60,29,11,14,0.588,0.0
962,433,0.0,0.0,-1,0,0.00034027637211687435,0.0010062911068048604,0.028189648101182737,0.031118769071534696,0.0,0.0004660082944192928,8.883176815468957e-06,0.0007464008756427842,0,12,0,11,0,0,0.214,0.0
455,816,0.08888888888888889,2.877479787626725,2,0,0.0019206766495149911,0.0005731469564714171,0.03549131673326779,0.029905905442419355,0.0017839930751468052,0.0002207579430025255,0.0015763696939575722,0.000514950093838439,30,6,33,4,3,3,0.758,0.0
376,203,0.0,0.0,2,0,0.0011462648919175688,0.0012090832548891258,0.03246639701978956,0.034314939914118374,0.0011563841910114073,0.0,0.0010187636102347113,0.002122594585650808,19,20,21,0,3,0,0.62,0.0
522,523,0.0,0.0,2,1,0.00034269807397607516,0.0007690117447739349,0.028383538435925407,0.029800301003333713,9.048482823401293e-05,0.00025405169920516673,6.699020173793343e-05,0.0002969757524920589,2,6,0,9,1,0,0.718,0.0
284,548,0.07547169811320754,2.5037299149280177,3,0,0.0012600718568091397,0.0005909949815755762,0.033789963742941326,0.030787082671726963,0.0014421799543799152,0.0015357706260207631,0.0012589211065480255,0.0011935105600114073,24,9,26,18,0,3,0.436,0.0
936,993,0.0,0.0,-1,0,0.0004152104855245061,0.00019951718342611836,0.028749241865646754,0.027889223556596947,0.00037746813265871284,0.0,0.00015279960471652012,0.0,3,0,9,0,0,0,0.461,0.0
847,40,0.09090909090909091,3.7492657384362635,2,1,0.001100152584656428,0.0016375130614298614,0.0320599935332678,0.03452033995122019,0.0006716599083995398,0.0012675937361951784,0.0007989561325122509,0.0013785425361535683,16,28,11,34,4,3,0.717,0.0
274,269,0.018867924528301886,0.577235974402372,2,1,0.0008681312265331847,0.002046967507032225,0.031164745779672525,0.03834017037170502,0.0002350220649595641,0.00267316927331037,0.0007822856494507794,0.003063159180759492,13,44,5,40,5,1,0.713,0.0
936,290,0.09836065573770492,4.733290372199488,2,0,0.0004152104855245061,0.0016762972227574037,0.028749241865646754,0.03777659857966161,0.00037746813265871284,0.0031425398571835873,0.00015279960471652012,0.0032588023753923187,3,31,9,37,0,2,0.565,0.0
931,210,0.05454545454545454,2.424560087568775,2,1,0.0004986235384526707,0.002102802733963116,0.02934045349289476,0.0402661010742251,0.00021630269789936322,0.003893524718113937,0.00031601668243291353,0.004340011789339964,5,48,4,32,2,0,0.725,0.0
41,63,0.08208955223880597,5.523720353734414,2,1,0.0018242746426062868,0.002733212230900583,0.03783043142275741,0.04247348687654204,0.003554129027855525,0.005224216789017069,0.003259567173838146,0.004239382387112858,39,51,42,60,5,3,0.4,0.0
370,339,0.16071428571428573,5.871075005726301,2,1,0.0007201632158344492,0.0009411448469819143,0.029882429451311344,0.0323299700363031,0.000978624884949268,0.0015810896208880566,0.00027216190981041005,0.0012014164635245849,9,17,12,33,1,5,0.625,0.0
35,26,0.21621621621621623,5.513264759495486,2,1,0.0015963083045659838,0.0010507113827150493,0.0354891525734433,0.032129375680797455,0.0014225919886825655,0.0006605749027518966,0.0022886415573477926,0.0007557095652050629,27,18,19,13,7,5,0.788,0.0
895,6,0.0,0.0,3,0,0.00025816995636361616,0.002902463391625968,0.028286211787272423,0.04077935371311942,0.0002843300537455972,0.003043459528101154,0.00014110916345086208,0.002569838304113313,2,53,2,55,0,0,0.295,0.0
221,218,0.1896551724137931,8.154342791755797,2,0,0.0016874851118820202,0.0013245098204217676,0.03578373173023219,0.03456097280583443,0.0014458011302892378,0.0013379885745223796,0.0023764769644191953,0.0018101142978906018,27,21,19,28,6,6,0.567,0.0
95,280,0.12903225806451613,7.219434119335643,2,0,0.001045440416662485,0.0027140716264300374,0.033117059600487046,0.04328828442505206,0.0012416493847390551,0.004212364297970283,0.001232096448148938,0.0049980802578249335,23,51,21,53,7,7,0.397,0.0
820,362,0.1322314049586777,8.458182794862093,2,0,0.0025226167402446244,0.0017929427573860602,0.04233834624440886,0.037042592606932344,0.005162481429487061,0.002776706270255928,0.0046643926074044426,0.0029297404075521874,45,29,71,33,3,7,0.272,0.0
676,243,0.0,0.0,-1,0,0.0003365546541837011,0.001395441100343755,0.028642593011345495,0.03503025868358479,0.0,0.0014563152045620155,0.00021854842777902625,0.002079933482549653,3,25,0,22,0,0,0.3,0.0
979,523,0.0,0.0,3,0,0.00024038601600800328,0.0007690117447739349,0.028029370408640144,0.029800301003333713,0.00022763563856702674,0.00025405169920516673,3.932407446920451e-06,0.0002969757524920589,1,6,5,9,0,0,0.347,0.0
853,331,0.0,0.0,-1,0,0.00019951718342611836,0.0008538461153914018,0.027889223556596947,0.030973056370699543,0.0,0.0007688739915948251,0.0,0.0004996361759530201,0,10,0,14,0,0,0.453,0.0
392,566,0.0,0.0,3,0,0.0007677397703677091,0.000706990777827473,0.030821362433178352,0.030318613534858575,0.00038143991863352506,0.0001355244342577871,0.0004920478205588196,0.0002440128876388595,11,10,5,7,0,0,0.273,0.0
221,121,0.06282722513089005,7.115191667633542,2,1,0.0016874851118820202,0.004515963967586142,0.03578373173023219,0.050575094943784246,0.0014458011302892378,0.009537415576757288,0.0023764769644191953,0.006294502271064711,27,79,19,123,8,5,0.338,0.0
297,997,0.0,0.0,-1,0,0.0007300723870737087,0.00019951718342611836,0.029807824515822107,0.027889223556596947,0.00019057002450146928,0.0,0.00028227366853959075,0.0,7,0,6,0,0,0,0.404,0.0
372,282,0.05454545454545454,3.3479894349442567,2,0,0.0008655278776817367,0.0024435750148153216,0.03181294424602243,0.04127771360924548,0.0013621630224749295,0.005943810519344177,0.0014427043838035657,0.004166848314187289,15,47,13,76,5,3,0.397,0.0
33,32,0.3333333333333333,5.646443895997436,2,1,0.0007455394675225016,0.0011171138498860336,0.030929601383484454,0.03247778247413139,0.0007378775862039081,0.0007729603540679184,0.000714374672902405,0.001006832345744652,11,16,11,14,4,5,0.868,0.0
